"Sport","Name","Height","Weight","Age"
"Athletics","Kathryn Mitchell",168,72,34
"Equestrianism","Edwina Tops-Alexander",164,50,42
"Archery","Alice Ingley",172,80,23
"Tennis","Samantha Jane Stosur",175,68,32
"Rugby Sevens","Thomas ""Tom"" Cusack",191,101,23
"Gymnastics","Larrissa Miller",159,50,24
"Basketball","Elizabeth Folake ""Liz"" Cambage",203,98,24
"Rowing","Cameron Girdlestone",190,92,28
"Freestyle Skiing","Matt Graham",171,71,19
"Swimming","Mitchell James ""Mitch"" Larkin",187,72,23
"Beach Volleyball","Taliqua Clancy",184,68,24
"Swimming","Jessica Ashwood",173,64,23
"Swimming","Jessica Ashwood",173,64,23
"Archery","Ryan Tyack",186,102,25
"Football","Elise Kellond-Knight",165,58,25
"Snowboarding","Torah Jane Bright (-Thomson)",161,57,27
"Snowboarding","Torah Jane Bright (-Thomson)",161,57,27
"Cycling","Gracie Elvin",175,65,27
"Rugby Sevens","Nick Malouf",186,95,23
"Sailing","Jason Waterhouse",185,75,24
"Swimming","Brittany Joyce Elmslie",179,73,22
"Synchronized Swimming","Nikita Aleisha Pablo",170,63,21
"Rowing","Jessica Hall",183,75,24
"Badminton","Matthew Chau",185,77,21
"Swimming","Joshua Palmer",186,87,24
"Swimming","Mitchell James ""Mitch"" Larkin",187,72,23
"Rugby Sevens","Charlotte Caslick",172,65,21
"Cycling","Katrin Garfoot",166,56,34
"Judo","Miranda Giambelli",169,78,24
"Table Tennis","David Powell",175,67,25
"Rugby Sevens","Thomas ""Tom"" Kingston",190,91,25
"Shooting","Warren James Potent",175,73,54
"Basketball","Damian Patrick Martin",186,90,31
"Judo","Nathan Katz",175,66,21
"Shooting","Blake Blackburn",181,82,24
"Athletics","Brooke Stratton",168,58,23
"Hockey","Matthew Swann",170,64,27
"Rugby Sevens","Alicia Quirk",173,64,24
"Archery","Ryan Tyack",186,102,25
"Cycling","Patrick Constable",183,95,21
"Cycling","Bodi Turner",180,81,21
"Rowing","Alexander Belonogoff",187,90,26
"Shooting","Dane Kevin Sampson",183,89,29
"Weightlifting","Simplice Ribouem",173,94,33
"Athletics","Jessica Trengove",166,52,28
"Freestyle Skiing","Taylah-Paige O'Neill",159,57,19
"Table Tennis","Melissa Tapper",166,65,26
"Tennis","Thanasi Kokkinakis",196,82,20
"Rowing","Alexandra Hagan",180,76,25
"Gymnastics","Larrissa Miller",159,50,24
"Freestyle Skiing","Amy Sheehan",164,59,27
"Water Polo","Glencora Ralph",178,68,27
"Freestyle Skiing","Anna Segal",164,59,27
"Alpine Skiing","Lavinia Chrystal",168,64,24
"Shooting","Lalita Vadimovna Milshina-Yauhleuskaya",158,64,52
"Freestyle Skiing","David John Morris",171,67,29
"Athletics","Chelsea Jaensch",163,56,31
"Sailing","Nathan Outteridge",179,75,30
"Swimming","Daniel Smith",190,83,25
"Synchronized Swimming","Emily Mei Ling Rogers",163,52,18
"Freestyle Skiing","Nicole Parks",168,58,21
